artist_name,artist_popularity,artist_followers
Bad Bunny,100,30938558
Drake,99,53628235
Juice WRLD,98,16468932
Taylor Swift,98,37697210
The Weeknd,98,29917463
Ariana Grande,97,59355769
BTS,97,30260491
Justin Bieber,96,43244495
Myke Towers,96,4591574
Dua Lipa,95,23247269
Ozuna,95,27170941
Travis Scott,95,15565002
Anuel AA,94,16633552
Rauw Alejandro,94,4036105
Lil Baby,94,6434596
Billie Eilish,94,40498872
DaBaby,94,6074857
Post Malone,94,31592018
Pop Smoke,94,4463354
XXXTENTACION,94,25899889
Kanye West,93,13465966
Maluma,93,24372843
Rihanna,93,41594677
Chris Brown,92,13266054
Doja Cat,92,5634457
Daddy Yankee,92,22398079
Future,92,9961766
Farruko,92,9518975
Khalid,92,13538391
Lil Uzi Vert,92,10965947
Young Thug,92,5986106
Cardi B,91,14984625
One Direction,91,20360327
Gunna,91,2962411
Harry Styles,91,13209918
Lil Wayne,91,10177960
Morgan Wallen,91,1521868
Nicki Minaj,91,20585709
Shawn Mendes,91,31838896
Maroon 5,91,29745564
Miley Cyrus,90,14400148
Ty Dolla $ign,90,3703642
Imagine Dragons,90,33013254
Machine Gun Kelly,90,3208141
Lady Gaga,90,16505529
Selena Gomez,90,25838919
KAROL G,90,15281804
Halsey,90,14181632
Jhay Cortez,90,1788186
Lil Tjay,90,2630714
Lil Peep,90,6459990
Marshmello,90,29758343
Queen,90,32623937
Arctic Monkeys,89,11155666
J. Cole,89,12793257
Kid Cudi,89,4650598
Lil Durk,89,2303314
Lana Del Rey,89,12415173
Polo G,89,3279887
Nicky Jam,89,14079864
Wiz Khalifa,89,9821024
Megan Thee Stallion,89,3566184
Olivia Rodrigo,89,1080494
Justin Quiles,89,2573730
Trippie Redd,89,5945560
Roddy Ricch,89,5692211
21 Savage,89,9303675
SZA,89,4782955
The Beatles,89,18875258
A Boogie Wit da Hoodie,88,5545458
blackbear,88,4007050
iann dior,88,1031906
Calvin Harris,88,21366817
JAY-Z,88,6028730
Katy Perry,88,17704870
Linkin Park,88,18244087
Mac Miller,88,5586958
Black Eyed Peas,88,5436886
YoungBoy Never Broke Again,87,6453797
A$AP Rocky,87,8819086
Big Sean,87,8222431
"Tyler, The Creator",87,5948367
Diplo,87,2363521
Demi Lovato,87,19170452
Frank Ocean,87,7375278
Joji,87,4230055
James Arthur,87,7660494
Kali Uchis,87,1518951
Kygo,87,7264712
NF,87,5051518
The Neighbourhood,87,5650063
Pitbull,87,8272028
Luke Combs,86,4539806
Playboi Carti,86,4470191
Don Toliver,86,1311573
AC/DC,86,18195604
Red Hot Chili Peppers,86,15547667
Elton John,86,6712583
Michael Jackson,86,17706969
Tory Lanez,86,3545918
Metro Boomin,86,2372556
NAV,86,2402076
P!nk,86,10454934
Quavo,86,4781940
$uicideboy$,86,3035722
ZAYN,86,14903802
Fleetwood Mac,85,6145228
Lofi Fruits Music,85,73791
Giveon,85,714049
G-Eazy,85,4783731
Jack Harlow,85,758283
Justin Timberlake,85,10439343
Kodak Black,85,6782890
Swae Lee,85,1108087
Nirvana,85,12250239
5 Seconds of Summer,85,7223188
OneRepublic,85,11434161
Chance the Rapper,85,5218980
Usher,85,8511262
Jhené Aiko,84,4281019
Glass Animals,84,1565088
2 Chainz,84,6177180
Green Day,84,11832199
Bob Marley & The Wailers,84,9228246
Brent Faiyaz,84,1424958
Fall Out Boy,84,8647778
Pink Floyd,84,14088934
Gucci Mane,84,3736379
Conan Gray,84,2927217
Tame Impala,84,4731860
Internet Money,84,240757
John Mayer,84,4950227
John Legend,84,5529270
Lil Yachty,84,6984041
Logic,84,5244685
Mother Mother,84,1420085
Pharrell Williams,84,3462126
Rick Ross,84,4644376
DJ Khaled,83,5757999
Anderson .Paak,83,1747978
Wisin & Yandel,83,4285117
Tones And I,83,2651797
Florida Georgia Line,83,4215746
Foo Fighters,83,8528203
Grupo Firme,83,2066285
Gorillaz,83,6639467
Hozier,83,4522709
Bring Me The Horizon,83,3609932
Niall Horan,83,6903284
Jeremy Zucker,83,1492415
Kehlani,83,4420129
Alicia Keys,83,8443262
Meek Mill,83,4858464
Migos,83,11250075
YNW Melly,83,5639559
Offset,83,1957648
T-Pain,83,3141547
Russ,83,3916495
U2,83,7999382
Zara Larsson,83,8485286
French Montana,82,3842439
Kevin Gates,82,3970347
Ski Mask The Slump God,82,3981983
Childish Gambino,82,7559378
H.E.R.,82,3511278
Whitney Houston,82,6367406
Jeremih,82,4866482
King Von,82,838771
Kesha,82,6198015
NLE Choppa,82,2827635
Rex Orange County,82,2814977
PARTYNEXTDOOR,82,2839732
Summer Walker,82,2114973
Lil Nas X,82,4126536
Zion & Lennox,82,5152394
Led Zeppelin,82,10372842
Zedd,82,5384404
AJR,81,1677116
Dan + Shay,81,2131639
Daniel Caesar,81,2502439
Frank Sinatra,81,4584722
Original Broadway Cast of Hamilton,81,391300
Junior H,81,663587
Bon Iver,81,2927732
Billy Joel,81,3315065
Kane Brown,81,3195543
Lil Skies,81,4644881
Pooh Shiesty,81,179508
Paramore,81,5815958
Solfeggio Healing Frequencies MT,80,31840
Five Finger Death Punch,80,4669720
Fets,80,14192
A$AP Ferg,80,2869836
El Fantasma,80,2373864
ILLENIUM,80,1047288
girl in red,80,2818261
Luke Bryan,80,6212094
Moneybagg Yo,80,1910588
Quinn XCII,80,610122
Vance Joy,80,2311780
Hans Zimmer,80,2453048
Mumford & Sons,79,5990447
City Girls,79,1317515
Jason Aldean,79,4420808
$NOT,79,558634
PnB Rock,79,2899005
ScHoolboy Q,79,3563152
Rod Wave,79,1697901
Macklemore & Ryan Lewis,79,2557083
Andy Grammer,78,915924
Leslie Odom Jr.,78,193890
Vicente Fernández,78,4359585
X Ambassadors,78,2378512
Charli XCX,78,2252716
Florence + The Machine,78,5499778
Arizona Zervas,78,583212
Fetty Wap,77,4021894
G Herbo,77,1126436
Van Halen,77,3804758
Ice Cube,77,4286096
Keith Urban,77,4110311
Hillsong UNITED,77,2873482
Van Morrison,77,1980482
TOMORROW X TOGETHER,77,3128492
"Earth, Wind & Fire",77,2786932
Simon & Garfunkel,77,3282617
Zac Efron,77,703159
Jon Z,77,2827586
Zion,77,2194362
Daryl Hall & John Oates,76,1424725
Flo Milli,76,321518
George Strait,76,2406855
Sam Hunt,76,2047479
Nipsey Hussle,76,2013594
Falling In Reverse,76,1655746
Kenny Chesney,76,3344154
Upchurch,76,870662
Hollywood Undead,76,1922633
NCT U,76,2450177
Zac Brown Band,76,2547714
Zendaya,76,2877481
Sleepy Hallow,75,230317
Harris Heller,75,55068
Carrie Underwood,75,4458141
Bryce Vine,75,385140
Brooks & Dunn,74,1773348
Queens of the Stone Age,74,2598264
Sub Urban,74,703467
Vampire Weekend,74,1697200
Ja Rule,74,1172605
E-40,73,630103
Quality Control,73,751918
Vitamin String Quartet,73,539488
Pierce The Veil,73,1670323
Vince Staples,73,1285394
Monsta X,73,3311639
Marc E. Bassy,73,348818
Tom Petty and the Heartbreakers,73,1718447
ZHU,73,662154
A Tribe Called Quest,72,1408554
Steven Universe,72,565034
Brendon Urie,72,93002
Chloe x Halle,72,954038
The xx,72,3640303
Rich Homie Quan,71,2306040
UPSAHL,71,129661
The Head And The Heart,71,899616
Queen Naija,70,1786314
UMI,70,489410
Xzibit,70,1163690
RY X,70,346266
Curren$y,70,770291
Rob Zombie,70,1768456
Zacari,70,64453
ZillaKami,70,150987
Quando Rondo,69,1349361
The Used,69,862116
Unknown Mortal Orchestra,69,632382
Xavier Wulf,69,349096
Lil Xan,69,2142156
Ivy Queen,68,1294646
Uncle Kracker,68,474009
Q-Tip,67,448021
UPPERROOM,67,119020
Flatbush Zombies,67,971697
RAC,66,140716
Craig Xen,66,174073
Allie X,65,564506
Zach Williams,65,156610
Qveen Herby,64,260891
Quiet Riot,64,1126817
Kellin Quinn,63,25623
Beto Quintanilla,63,500201
Quadeca,63,199595
Qumu,63,79062
SOB X RBE,63,453059
Xavier Omär,63,269369
Static-X,63,988901
A L E X,63,45036
Xscape,57,1037539
Voskresenie,35,35011
Artis_Tek,0,9
