artist_name,artist_popularity,artist_followers
Ariana Grande,97,59355769
Drake,99,53628235
Justin Bieber,96,43244495
Rihanna,93,41594677
Billie Eilish,94,40498872
Taylor Swift,98,37697210
Imagine Dragons,90,33013254
Queen,90,32623937
Shawn Mendes,91,31838896
Post Malone,94,31592018
Bad Bunny,100,30938558
BTS,97,30260491
The Weeknd,98,29917463
Marshmello,90,29758343
Maroon 5,91,29745564
Ozuna,95,27170941
XXXTENTACION,94,25899889
Selena Gomez,90,25838919
Maluma,93,24372843
Dua Lipa,95,23247269
Daddy Yankee,92,22398079
Calvin Harris,88,21366817
Nicki Minaj,91,20585709
One Direction,91,20360327
Demi Lovato,87,19170452
The Beatles,89,18875258
Linkin Park,88,18244087
AC/DC,86,18195604
Michael Jackson,86,17706969
Katy Perry,88,17704870
Anuel AA,94,16633552
Lady Gaga,90,16505529
Juice WRLD,98,16468932
Travis Scott,95,15565002
Red Hot Chili Peppers,86,15547667
KAROL G,90,15281804
Cardi B,91,14984625
ZAYN,86,14903802
Miley Cyrus,90,14400148
Halsey,90,14181632
Pink Floyd,84,14088934
Nicky Jam,89,14079864
Khalid,92,13538391
Kanye West,93,13465966
Chris Brown,92,13266054
Harry Styles,91,13209918
J. Cole,89,12793257
Lana Del Rey,89,12415173
Nirvana,85,12250239
Green Day,84,11832199
OneRepublic,85,11434161
Migos,83,11250075
Arctic Monkeys,89,11155666
Lil Uzi Vert,92,10965947
P!nk,86,10454934
Justin Timberlake,85,10439343
Led Zeppelin,82,10372842
Lil Wayne,91,10177960
Future,92,9961766
Wiz Khalifa,89,9821024
Farruko,92,9518975
21 Savage,89,9303675
Bob Marley & The Wailers,84,9228246
A$AP Rocky,87,8819086
Fall Out Boy,84,8647778
Foo Fighters,83,8528203
Usher,85,8511262
Zara Larsson,83,8485286
Alicia Keys,83,8443262
Pitbull,87,8272028
Big Sean,87,8222431
U2,83,7999382
James Arthur,87,7660494
Childish Gambino,82,7559378
Frank Ocean,87,7375278
Kygo,87,7264712
5 Seconds of Summer,85,7223188
Lil Yachty,84,6984041
Niall Horan,83,6903284
Kodak Black,85,6782890
Elton John,86,6712583
Gorillaz,83,6639467
Lil Peep,90,6459990
YoungBoy Never Broke Again,87,6453797
Lil Baby,94,6434596
